Callsign,Frequency,,,,,,,,,,
W2NAF,15 MHz,,,,,,,,,,
Hour (UTC),Date,Date,Date,Date,Date,Date,Date,,,,
Date,5/8/2024,5/9/2024,5/14/2024,5/20/2024,5/25/2024,5/28/2024,5/29/2024,,,,
Hour (UTC),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),AVG Doppler (Hz),STDEV,AVG - STDEV,AVG + STDEV
0.61667,-0.286080003,-0.660880029,-0.325010002,-0.195040002,-0.373430014,-0.618019998,-0.253839999,-0.387471435,0.181278299,-0.568749735,-0.206193136
0.63333,-0.290309995,-0.663850009,-0.381190002,-0.227840006,-0.364459991,-0.508430004,-0.264690012,-0.385824289,0.153603331,-0.539427619,-0.232220958
0.65,-0.286529988,-0.581290007,-0.454409987,-0.371960014,-0.439630002,-0.606060028,-0.356830001,-0.442387147,0.117477961,-0.559865107,-0.324909186
0.66667,-0.281769991,-0.429259986,-0.488559991,-0.207680002,-0.490370005,-0.507089972,-0.105240002,-0.358567136,0.160294529,-0.518861665,-0.198272607
0.68333,-0.211659998,-0.470640004,-0.574599981,-0.146850005,-0.498699993,-0.470039994,-0.019160001,-0.341664282,0.212484134,-0.554148416,-0.129180148
0.7,-0.235650003,-0.483619988,-0.635339975,-0.158370003,-0.294569999,-0.410290003,0.064479999,-0.307622853,0.229129316,-0.536752169,-0.078493537
0.71667,-0.187230006,-0.504999995,-0.433279991,-0.189019993,-0.091499999,-0.389840007,0.090159997,-0.243672856,0.210705663,-0.454378519,-0.032967193
0.73333,-0.159470007,-0.592819989,-0.241600007,-0.232659996,-0.04445,-0.516120017,0.236619994,-0.221500003,0.279963211,-0.501463213,0.058463208
0.75,-0.206850007,-0.706149995,-0.372170001,-0.299710006,-0.132379994,-0.580690026,0.089359999,-0.315512862,0.269457281,-0.584970142,-0.046055581
0.76667,-0.2368,-0.614639997,-0.475879997,-0.410640001,-0.131109998,-0.478729993,-0.247160003,-0.37070857,0.170504128,-0.541212698,-0.200204441
0.78333,-0.221129999,-0.395770013,-0.468389988,-0.483339995,-0.333310008,-0.492790014,0.034699999,-0.337147145,0.190614522,-0.527761668,-0.146532623
0.8,-0.287849993,-0.526000023,-0.223660007,-0.490630001,-0.178529993,-0.307619989,-0.00657,-0.288694286,0.179541398,-0.468235685,-0.109152888
0.81667,-0.348159999,-0.783010006,-0.228300005,-0.491140008,-0.329320014,-0.337740004,0.042309999,-0.353622862,0.250541304,-0.604164166,-0.103081558
0.83333,-0.394809991,-0.780189991,-0.323520005,-0.435900003,-0.161039993,-0.357230008,-0.040739998,-0.356204284,0.233195847,-0.589400131,-0.123008437
0.85,-0.466289997,-0.699490011,-0.332569987,-0.354039997,-0.276140004,-0.383399993,-0.093489997,-0.372202855,0.184799094,-0.557001949,-0.187403761
0.86667,-0.565789998,-0.786880016,-0.403320014,-0.425779998,-0.383850008,-0.656570017,-0.0041,-0.460898579,0.24990113,-0.710799709,-0.210997449
0.88333,-0.627470016,-0.776979983,-0.693199992,-0.494480014,-0.410470009,-0.772989988,-0.172670007,-0.564037144,0.220341406,-0.78437855,-0.343695739
0.9,-0.542540014,-0.749220014,-0.367630005,-0.467159986,-0.457320005,-0.798449993,-0.201949999,-0.512038574,0.208659948,-0.720698521,-0.303378626
0.91667,-0.52313,-0.72943002,-0.267239988,-0.449669987,-0.614449978,-0.810199976,-0.204099998,-0.514031421,0.225604718,-0.739636139,-0.288426703
0.93333,-0.487500012,-0.834689975,-0.250499994,-0.398580015,-0.661920011,-0.736180007,-0.261999995,-0.518767144,0.231260151,-0.750027295,-0.287506993
0.95,-0.478670001,-0.761449993,-0.259169996,-0.388249993,-0.525380015,-0.725419998,-0.285930008,-0.489181429,0.198226812,-0.687408241,-0.290954617
0.96667,-0.471659988,-0.638849974,-0.245800003,-0.323680013,-0.493809998,-0.517530024,-0.385089993,-0.439488571,0.131470747,-0.570959317,-0.308017824
0.98333,-0.418500006,-0.701470017,-0.308569998,-0.264209986,-0.280600011,-0.387439996,-0.376190007,-0.390997146,0.148570108,-0.539567254,-0.242427038
1,-0.384770006,-0.561630011,-0.249390006,-0.250230014,-0.175009996,-0.251729995,-0.330430001,-0.314741433,0.127822761,-0.442564194,-0.186918671
1.01667,-0.368110001,-0.426169991,-0.280820012,-0.274470001,-0.187549993,-0.184210002,-0.325679988,-0.292429999,0.089338445,-0.381768444,-0.203091553
1.03333,-0.398580015,-0.472140014,-0.338499993,-0.335310012,-0.181869999,-0.04188,-0.274699986,-0.291854288,0.143082438,-0.434936726,-0.148771851
1.05,-0.366189986,-0.227579996,-0.340680003,-0.377700001,-0.158240005,0.12235,-0.218899995,-0.22384857,0.17405807,-0.39790664,-0.049790499
1.06667,-0.319840014,-0.264109999,-0.391160011,-0.377409995,-0.233129993,0.022120001,-0.20702,-0.252935716,0.139855293,-0.392791009,-0.113080422
1.08333,-0.364279985,-0.232329994,-0.441570014,-0.433679998,-0.237690002,0.022919999,-0.213320002,-0.271421428,0.161544471,-0.432965899,-0.109876957
1.1,-0.374909997,-0.336439997,-0.495900005,-0.388859987,-0.264780015,0.052469999,-0.258080006,-0.295214287,0.173342052,-0.468556339,-0.121872235
1.11667,-0.333160013,-0.257050008,-0.50405997,-0.377110004,-0.377510011,-0.085160002,-0.312449992,-0.320928571,0.128959752,-0.449888323,-0.19196882
1.13333,-0.389090002,-0.219160005,-0.505580008,-0.401089996,-0.452580005,-0.07615,-0.30061999,-0.334895715,0.148223001,-0.483118716,-0.186672714
1.15,-0.343620002,-0.230759993,-0.453070015,-0.375319988,-0.49612999,-0.198100001,-0.366290003,-0.35189857,0.108159704,-0.460058274,-0.243738866
1.16667,-0.311260015,-0.336450011,0.01682,-0.369109988,-0.500620008,-0.321880013,-0.249469995,-0.295995718,0.157995073,-0.453990791,-0.138000646
1.18333,-0.330309987,-0.40952,-0.095909998,-0.30656001,-0.506099999,-0.380239993,-0.161990002,-0.312947141,0.142242818,-0.455189959,-0.170704324
1.2,-0.278030008,-0.457120001,-0.088069998,-0.388489991,-0.516719997,-0.415170014,-0.04555,-0.312735716,0.183373609,-0.496109324,-0.129362107
1.21667,-0.217889994,-0.513369977,-0.03049,-0.412349999,-0.453209996,-0.503880024,-0.02201,-0.307599999,0.215809117,-0.523409116,-0.091790882
1.23333,-0.2667,-0.517170012,-0.210559994,-0.370530009,-0.381110013,-0.564859986,0.118749999,-0.313168574,0.228076387,-0.54124496,-0.085092187
1.25,-0.26078999,-0.439260006,-0.234990001,-0.385010004,-0.319819987,-0.593630016,0.229509994,-0.286284287,0.257571732,-0.543856019,-0.028712555
1.26667,-0.229379997,-0.372339994,-0.358630002,-0.392349988,-0.224140003,-0.659309983,0.149770007,-0.29805428,0.244714534,-0.542768814,-0.053339746
1.28333,-0.212830007,-0.162,-0.317440003,-0.392749995,-0.348239988,-0.626010001,0.206609994,-0.264665714,0.255627673,-0.520293388,-0.009038041
1.3,-0.25108999,-0.00458,-0.394490004,-0.371870011,-0.360830009,-0.355930001,0.241850004,-0.213848573,0.242292601,-0.456141174,0.028444028
1.31667,-0.279449999,-0.108900003,-0.447739989,-0.228410006,-0.36333999,-0.1435,0.178609997,-0.198961427,0.204125747,-0.403087174,0.00516432
1.33333,-0.279009998,-0.244670004,-0.482569993,-0.327170014,-0.380910009,-0.373149991,0.210800007,-0.268097143,0.224818984,-0.492916127,-0.043278159
1.35,-0.266840011,-0.212980002,-0.520319998,-0.217840001,-0.362069994,-0.429470003,0.139239997,-0.267182859,0.212120806,-0.479303665,-0.055062052
1.36667,-0.283470005,-0.26681,-0.515540004,-0.279949993,-0.426569998,-0.268900007,-0.043280002,-0.297788573,0.147813177,-0.445601749,-0.149975396
1.38333,-0.398400009,-0.250970006,-0.496179998,-0.268350005,-0.439449996,-0.176300004,0.121420003,-0.272604288,0.207631063,-0.480235351,-0.064973225
1.4,-0.463609993,-0.287319988,-0.42001,-0.201470003,-0.46292001,-0.211170003,-0.0218,-0.295471428,0.164684018,-0.460155447,-0.13078741
1.41667,-0.499729991,-0.360520005,-0.383100003,-0.196250007,-0.580380023,-0.151240006,-0.092859998,-0.323440005,0.183042731,-0.506482736,-0.140397274
1.43333,-0.589860022,-0.335049987,-0.420980006,-0.186690003,-0.600570023,-0.195299998,-0.140029997,-0.352640005,0.191581441,-0.544221446,-0.161058564
1.45,-0.542020023,-0.368180007,-0.444799989,-0.286359996,-0.52767998,-0.344289988,-0.233239993,-0.392367139,0.117551511,-0.509918651,-0.274815628
1.46667,-0.569899976,-0.362859994,-0.47330001,-0.369830012,-0.444260001,-0.236570001,-0.207110003,-0.380547142,0.128940858,-0.509488001,-0.251606284
1.48333,-0.515209973,-0.369139999,-0.468589991,-0.368649989,-0.31674999,-0.310479999,-0.303880006,-0.378957135,0.082660874,-0.461618009,-0.296296261
1.5,-0.380499989,-0.262499988,-0.489250004,-0.431549996,-0.130879998,-0.276520014,-0.305119991,-0.325188569,0.119544494,-0.444733062,-0.205644075
1.51667,-0.286509991,-0.315530002,-0.513249993,-0.429870009,-0.251859993,-0.185249999,-0.31566,-0.328275712,0.110225971,-0.438501683,-0.218049742
1.53333,-0.337249994,0.084179997,-0.366030008,-0.483069986,-0.315860003,-0.222599998,-0.244440004,-0.269295714,0.177757492,-0.447053205,-0.091538222
1.55,-0.348150015,0.140760005,-0.469150007,-0.539979994,-0.332899988,-0.26778999,-0.290250003,-0.301065713,0.217943775,-0.519009488,-0.083121938
